patient,P18583.3_N,P18583.3_C,P18583.6_N,P18583.6_C
1,0,0,1.16516286650146,0.907635094836687
2,0,0,1.39535113654123,1.30784687072422
3,0,0,1.17758556351841,1.02266384724069
4,0,0,0.908390981664163,0.851689901415773
13,0.589653111749808,1.62307276400785,0.787892065743499,1.29344710683883
14,1.00442787626988,1.65629321874733,1.17876639465524,1.32056167010351
15,1.33053697959648,1.14108875672292,1.44827453805864,1.07317770033269
16,0.858564070459008,1.7673828291739,0.848061325666119,1.37165133449727
17,0,0,1.17723425013676,1.28378797534387
18,0,0,1.06700353600009,0.878693202646079
19,0,0,1.05989769849819,1.05078417992432
20,0,0,1.0139014995573,1.37433664751098
21,0.810883741848437,1.55963518651194,0,0
22,0.816730380031482,1.23884928956548,0,0
23,1.04922053540145,1.04973303141391,0,0
24,0.800733183070897,1.45751774125227,0,0
25,0,0,0.930253797514863,1.32931391039929
26,0,0,0.942721473586233,1.21879494294542
27,0,0,0.858890961197289,1.45554082000427
28,0,0,0.818839032959035,1.39398976131906
33,0.163351590390312,1.63332518818278,0.901325134337663,1.23916354658515
34,0.808312821460286,2.11733784693871,0.826602576591065,1.84661596607996
35,0.678223840657016,1.38725720994821,0.815111703050891,1.24131365763289
36,0.222025281752677,0.947883949484174,0.554553311773186,1.15642677756092
41,0.942529490293918,0.995833059768455,0.849883616754951,0.968988471810686
42,0.828021797649531,1.58819512835664,0.956325042836235,1.44298279984835
43,0.646602324207209,1.65170595058324,0.855476154672168,1.36401374995499
44,0.543531832009279,1.45322915982754,0.986019184703069,1.32733025943191
45,0,0,0.795806612199479,0.971374466797466
46,0,0,0.758828467402657,1.08706941150058
47,0,0,1.23855261745097,1.3681318144992
48,0,0,0.94018565697385,1.2420763907191
53,0,0,0.595778970998426,0.930458951587768
54,0,0,0.785411628246452,1.43447916707763
55,0,0,0.872063250338306,1.619659603344
56,0,0,0.769867321053068,1.33253967940853
57,0.736968615513803,1.18969245302824,0,0
58,0.779652566390259,1.15322766873098,0,0
59,0.82489765928414,1.13506350372625,0,0
60,0.791245932612575,1.04005982995696,0,0
65,0.834230559442218,1.63708587283895,0,0
66,0.965470628690682,1.4762788436455,0,0
67,0.986778760642208,1.54582967723575,0,0
68,0.793570801811843,1.53291080702919,0,0
69,1.18377460757297,1.76851753170628,0.595087135360446,0.879040466773804
70,1.25464746273656,1.30534705622631,0.725163619255739,0.892377332275149
71,0.925861360210715,1.49217429698086,0.648464276370895,1.03138719669706
72,0.702920174784184,1.49509751678568,0.545774918822425,1.06496514365738
77,1.65307758140546,2.15115536657927,1.09411422826804,1.24079513681631
78,1.17126730332957,1.357492562455,1.41216110081367,1.12168169394615
79,0.913710893456319,1.44693192778449,0.920022933618171,1.39158367629041
80,0.810832325812017,1.27399236547892,1.09764066476077,1.16929251358738
85,0,0,0.847112498024964,1.04354953389161
86,0,0,1.03006497866962,1.10375355506399
87,0,0,0.632480447148049,1.49510684942329
88,0,0,0.720818849739295,1.35059843577184
89,0.553353145121347,1.11498431566782,0.647845001709083,1.13513408532985
90,0.468532276704639,1.00793131913489,0.733349647307417,1.27447872968522
91,0.678669308238402,0.845134555060261,0.874498927938846,1.05513346384513
92,0.684863793957405,1.12903417533432,1.11541748236537,1.72591746682825
93,0,0,1.03168031142489,1.05968123340647
94,0,0,0.920086393088553,1.19455518657322
95,0,0,0.942581036204851,0.973296681720008
96,0,0,1.00619776504836,1.09774712094179
97,0.718176230055857,1.06820429216666,0,0
98,0.864917016329476,1.25409305930459,0,0
99,0.856632012186974,1.50681241147072,0,0
100,0.922596680653179,1.54012347328754,0,0
