patient,P11277_N,P11277_C,P11277.2_N,P11277.2_C
1,0,0,1.25608869221945,6.42736361813308
2,0,0,1.2802549148472,1.35483429067793
3,0,0,1.14012266301309,1.90106144554256
4,0,0,1.07678584221638,3.33793031183513
9,0,0,4.15627621287438,14.6997700007056
10,0,0,3.97311904791609,6.06360188405685
11,0,0,3.62648913725014,17.3105424744788
12,0,0,4.38731342504728,8.40608066086462
13,0,0,3.21213748836812,12.3701889707614
14,0,0,4.14324412237428,5.99669613628459
15,0,0,6.352636196011,7.72430314227756
16,0,0,3.56051968958927,5.23330022182352
17,0,0,1.55789333625201,1.31901714060082
18,0,0,1.43229513516387,3.78355430230059
19,0,0,1.27305942932903,1.48559586057279
20,0,0,1.55326227734591,2.59420781244165
21,0,0,0.980146447238358,1.69194584967273
22,0,0,1.05405517351009,1.22422592413894
23,0,0,1.18522407591703,1.44372886327076
24,0,0,1.06929656741196,1.76519185797237
25,0,0,1.77135739948109,2.56320032951227
26,0,0,2.41389317583953,2.26298617455642
27,0,0,1.87799359710315,2.16201642596122
28,0,0,1.65224306068819,3.85349104277606
29,0,0,1.44928863135537,7.69493818275062
30,0,0,1.69951675966764,2.21235756080771
31,0,0,1.1827594039526,1.20612453315825
32,0,0,1.03585279352287,2.0033621445647
33,0,0,0.910655225254278,1.41860502255135
34,0,0,1.33140315074674,3.77602044036083
35,0,0,1.40542250906028,1.73070415095517
36,0,0,0.793977699482745,1.65024625129155
37,0,0,2.28613945331256,2.65525103971833
38,0,0,2.10658926426461,2.96172250703808
39,0,0,2.25117878964545,5.69443715452255
40,0,0,2.37287987183518,3.01219307547431
45,0.876368368674883,0.991119957130828,0,0
46,0.90532272596117,1.68643673558318,0,0
47,1.03978353423351,1.32486941979402,0,0
48,0.814437724871775,1.23653419228708,0,0
49,0,0,0.219842926813355,0.43763395260076
50,0,0,0.313197083625569,0.609231923534881
51,0,0,0.35427343456915,1.18463031528813
52,0,0,0.321146161248756,1.37187036161086
53,0,0,1.63557036886619,1.94645715894264
54,0,0,1.16912961810072,2.66500347853168
55,0,0,1.25586350692583,2.32491238956275
56,0,0,1.4486295379117,1.81606303559881
57,0,0,3.25805512272295,3.67772006813846
58,0,0,3.69314622468327,9.79358162133306
59,0,0,3.53930333333961,7.47796318542382
60,0,0,3.76295776240882,6.42916115645099
61,0.756609670644087,0.852325173471108,5.39757758715942,29.1827567050939
62,1.08330030206525,1.17323647198721,4.68179226794471,7.53051928025744
63,1.07993566875789,1.26279676885858,4.30812269306199,17.184429718237
64,1.1815626295623,1.34557996072696,5.63551510040139,10.1827483146372
69,0.812495622329621,0.816987362290997,1.2718740136049,3.72704987247156
70,0.96209287665476,0.758920941774482,1.37187153351236,1.44521757971517
71,0.909851009115561,0.827412721760274,1.27840503084991,1.46757995750358
72,1.23591390748356,0.940470687119143,1.90124767244517,1.85078124360349
77,0.716352645726329,0.545124998422534,5.27460244085945,4.32551947808181
78,0.878771721709721,1.49947943615048,5.98318978895051,16.6475381855956
79,0.813786423694804,0.862738355144433,5.66437229774536,16.8074515896702
80,0.649105261165306,1.64939866988049,4.69452640052625,21.184769846907
81,0,0,1.20529287921343,3.508806952146
82,0,0,1.30600487559377,1.41594750216453
83,0,0,1.22738344540763,2.42702009927523
84,0,0,1.32259917999343,1.33127993221574
85,0,0,0.806818517970714,0.826845141251294
86,0,0,0.785948824138441,0.949474929744121
87,0,0,0.568047626090815,0.813577873095696
88,0,0,0.612236355568703,1.03182221564857
89,0,0,2.93332191128379,4.895438159135
90,0,0,3.34553528104299,5.55483875413573
91,0,0,3.39086981028092,5.89128249047545
92,0,0,3.78854109446154,17.2714831879307
93,1.011385308242,0.921079478872269,0,0
94,0.977835987224558,0.845989292525448,0,0
95,1.36655407734197,0.792631143585855,0,0
96,0.864385009535626,0.96750993773121,0,0
97,0,0,0.485015929803021,4.30478317474094
98,0,0,0.397137927749611,0.840982461339797
99,0,0,0.43640409835198,0.641695862485049
100,0,0,0.617711188966627,1.07817775754946
