patient,Q9UGK3_N,Q9UGK3_C,Q9UGK3.2_N,Q9UGK3.2_C
21,0.370823041431701,0.898432523962654,0,0
22,0.3222173028227,1.21312003852667,0,0
23,0.468918457069177,0.979544360037905,0,0
24,0.437448540491836,2.39790045206692,0,0
89,0.662028803695084,3.65794810202823,0,0
90,0.404442084329749,0.775707529518263,0,0
91,0.421327992187862,1.34105399712747,0,0
92,0.575239941694079,2.51800676434215,0,0
97,0,0,0.444341743322784,1.6378368185986
98,0,0,0.342289405187968,0.67891315921796
99,0,0,0.445706025022923,1.42721982312402
100,0,0,0.578958265550593,3.21333446715372
