patient,Q9H1Y0_N,Q9H1Y0_C,Q9H1Y0.2_N,Q9H1Y0.2_C
1,5.55568663422103,10.2479531432454,0,0
2,7.38668932633932,8.52734843590921,0,0
3,7.50269769004213,8.3314444845009,0,0
4,6.00714182804292,10.2887590369123,0,0
5,3.26169533022978,5.52036535770151,0,0
6,2.82224246198241,6.27079467524573,0,0
7,3.24586840838768,3.56640897473477,0,0
8,3.6421123656209,4.11444478538324,0,0
9,5.85312269293295,5.25546084599307,0,0
10,6.86454951414206,7.66678080824149,0,0
11,5.164682738854,5.5485721617775,0,0
12,5.0916088609908,6.00508773158357,0,0
13,6.88305992963201,11.0837492268695,0,0
14,8.59971597480173,13.3205979862432,0,0
15,8.46744170095847,14.9200214085201,0,0
16,7.62438375856744,13.4898947236885,0,0
17,6.67575221162448,6.42186166612233,0,0
18,4.09315736201232,4.33128092866793,0,0
19,2.86512528547599,4.34898922080693,0,0
20,4.35295603145648,7.71452707416943,0,0
21,4.51805512176023,5.55939073122181,0,0
22,4.42091375198966,5.63763274482011,0,0
23,6.00516784413368,5.83321328595306,0,0
24,5.03323657375776,5.7326126291784,0,0
26,4.71176444794137,4.86381719608006,0,0
27,3.76208301970058,5.29313572810096,0,0
29,0.91023991023991,0.98029238029238,0,0
30,0.735062535062535,0.979348579348579,0,0
31,0.758499158499158,1.39381579381579,0,0
32,0.690512490512491,1.05384945384945,0,0
33,4.45723989164407,8.42115542519083,0,0
34,6.11566874144571,8.39004977267427,0,0
35,5.05349904125807,6.61927054363033,0,0
36,3.19780015466502,5.70248811502278,0,0
37,8.07737188919926,12.1607648940419,0,0
38,5.97893745433458,13.8402287801919,0,0
39,7.00261293169246,12.0096768677695,0,0
41,5.2793100516663,5.2235515510449,1.52300898667493,1.79125050654335
42,5.91936851998961,5.49502967224096,1.03361660031942,3.88133775118591
43,4.26193326040465,4.91662185407091,0.565749922528664,0.784736955018951
44,5.61097894406316,5.07171507130107,0.533193487640342,0.657028437939501
45,4.22026942542517,3.93293946311254,0,0
46,3.52059780326578,9.09583759045951,0,0
47,4.85265352954867,5.71415563758789,0,0
48,3.09643752856915,5.86077908044442,0,0
49,1.53122373080585,2.29473293307195,0,0
50,1.25790836806988,1.84328674239241,0,0
51,1.94026486304558,2.12488670077847,0,0
52,1.30615689690307,2.15186486934446,0,0
53,3.31985331800387,4.32697410060379,0,0
54,2.71736744675739,3.74275717867619,0,0
55,2.4177816972744,4.22110015212715,0,0
56,2.56667008662463,4.24561238686673,0,0
57,6.31750266549652,14.4414359106351,0,0
58,6.15428813619151,9.08733643919271,0,0
59,6.61493191416379,10.4927348755464,0,0
60,6.84918423505724,7.54345117509109,0,0
61,3.16280599494515,3.35002548477604,0,0
62,2.89810110145999,4.09464525693459,0,0
63,3.08114197904024,3.59221269752908,0,0
64,3.19785244009827,3.17659381571118,0,0
65,6.23307384820939,6.93775764466257,0,0
66,6.7582243657468,9.29646565575171,0,0
67,6.70802103945947,9.102659998018,0,0
68,5.44873911930876,7.03867003305099,0,0
69,6.38791871814513,7.9003560665137,0,0
70,6.8384731587537,9.43030411638188,0,0
71,5.9215792873362,9.29565746668719,0,0
72,5.03262917511655,6.64372237060812,0,0
73,5.06813694846334,5.93141362598632,0,0
74,4.36922516910973,7.08726613402401,0,0
75,2.946274292469,5.55468757287507,0,0
76,3.84228761719389,6.83728124113726,0,0
77,8.57957758781476,10.3454914879545,0,0
78,8.79716110688792,9.14005603625223,0,0
79,7.34029078840413,10.5678995816379,0,0
80,7.07827046753967,7.38666778399969,0,0
81,4.42243562326588,6.00778368803366,0,0
82,3.5614448778468,5.30178596758088,0,0
83,3.20782220789374,5.4443048201521,0,0
84,3.51729369702127,5.04026918109914,0,0
85,6.68168123292649,8.15318703007687,0,0
86,6.44226357353355,7.10207059277237,0,0
87,6.20680387254971,5.11304721447004,0,0
88,5.5352125357836,9.54705140593612,0,0
89,2.453105596806,4.96172613741533,0,0
90,2.66595728042443,5.65942211496554,0,0
91,2.78087116653704,4.01899609625698,0,0
92,3.16236676762261,5.51368330072646,0,0
93,2.03910825239266,3.15493680805078,0,0
94,2.15627318038873,2.78453405612811,0,0
95,2.82202569978655,3.18981854900669,0,0
96,2.29852299364111,3.48552433638018,0,0
97,4.98590744119155,4.82532541095527,0,0
98,5.28529196030277,7.8211793014313,0,0
99,5.85284138590432,10.4481477396984,0,0
100,5.86635287790482,6.93399145749927,0,0
