patient,Q9UK58_N,Q9UK58_C,Q9UK58.6_N,Q9UK58.6_C
51,0.618576670924126,0.669710557084039,0,0
52,0.581689195185855,0.766906036202552,0,0
57,1.62956965977772,1.51658989380613,0,0
58,1.18182415408159,1.16947351336312,0,0
59,0.853620175289444,1.19717357364784,0,0
60,1.18318442489914,0.810972593634551,0,0
65,1.70807570824034,1.10265978853401,0,0
66,1.36318125830803,0.87169965487384,0,0
67,1.37878510713545,0.738356565323967,0,0
68,1.49237795582873,0.75335065061769,0,0
69,2.51331704220478,1.68806381140223,0,0
70,2.70273856560222,4.82416621197292,0,0
71,0.949604363361521,1.17803542577381,0,0
89,0,0,0.733133705568242,1.16044269524061
90,0,0,0.882052769945981,0.928373203516225
91,0,0,0.773682357084165,0.96704591512424
92,0,0,0.942005328821037,1.31941918951423
