patient,P12110_N,P12110_C,P12110.2_N,P12110.2_C
1,9.41632247739029,9.07072017928501,0.734686026950526,1.07399050358556
2,14.3420276751262,11.5646305544117,1.03755696030529,0.873157222882493
3,11.8338731026327,9.17705180602825,0.976913493061417,0.859498232579859
4,10.8336187441367,10.1050901602547,1.15191200984473,1.09204555676127
5,17.8368272853127,13.375064026804,2.03101684275035,2.15862119210227
6,12.126479831367,14.1552322971303,1.72702731720084,2.49875657276854
7,7.96055540945968,8.97652717327453,1.99448324868227,1.60139156353841
8,14.8641691958623,17.4242696931205,2.22281970047271,2.01382718857795
9,11.658392188989,5.77333768827727,3.5195057727421,2.5312538561224
10,8.31535431857461,7.79583280738833,2.80829736698257,3.97791693934293
11,6.6927009724312,10.074723753837,3.05059683548361,3.38567341411394
12,7.06239478123113,8.77930849319661,2.9315039081972,3.23520030806707
13,10.1907790190268,8.96935534424454,0,0
14,17.3644085696523,11.0307136435548,0,0
15,16.4277760619356,11.2196756662287,0,0
16,9.48617506120049,9.09238720011987,0,0
17,17.2319352442374,16.9236891681857,0,0
18,23.5493559309562,8.00325148577186,0,0
19,9.76733341113313,11.407100734337,0,0
20,14.8480777335873,10.5294754189318,0,0
21,13.7173648476942,5.64433089675363,2.27467728406735,2.26209342357549
22,10.6381869564387,11.1454084205232,2.65565932956843,1.92381580762993
23,16.0456854534769,9.1778835296327,2.27603441264095,2.40437470979642
24,7.63145082670623,7.30212099528159,2.18439600818238,1.6855052352647
25,34.4554358231987,11.3365994556276,0,0
26,10.8035174835443,11.9371324025819,0,0
27,8.4964362561647,12.1792963448471,0,0
28,8.8798165525308,9.54676237877058,0,0
30,11.238498075244,10.3656555380087,2.04885154393213,1.91304577977361
32,7.19009036194504,10.7805052534609,1.78287377699886,2.20488619392552
34,19.4747729637023,8.94741218344942,0,0
35,12.9144629617075,11.2015945348927,0,0
41,11.1357330288126,10.95607944224,0,0
42,9.51536110268419,12.9170203197246,0,0
43,8.30054954849755,13.3524144968465,0,0
44,5.78010237186093,13.7406930298211,0,0
45,12.6757319528012,16.2421202333538,0,0
46,8.48558982019395,12.1252406245869,0,0
47,21.6046170049143,18.0741731471783,0,0
48,6.97241094781542,16.0105401730692,0,0
49,3.22537485893945,6.92991811250547,0,0
50,5.26719911362938,5.10910443213475,0,0
51,8.732516756677,6.48534869264014,0,0
52,5.99773086493047,11.3111242750199,0,0
53,11.8515370953977,8.46074362154229,3.57078186197996,2.72836563182748
54,8.08757959140963,5.76229913061995,1.77957677657077,1.51058242040676
55,6.65200423673783,8.85065509841764,1.81643471453751,2.37112840772224
56,9.82523084455406,7.17639768297292,3.73786432370738,2.68184512159616
58,22.1467345831746,11.952783259368,0.906672950202975,1.24758786616068
59,10.0060019611376,9.82773406885113,1.16490975684368,1.28248629610338
61,8.97589607646423,10.5949911060691,1.51720044079861,1.77438124784589
62,9.74262120751751,9.55143668413302,1.72169938806562,2.0908355529414
63,10.5702498194994,11.3116858636275,2.13092961892229,2.70675662996122
64,8.36865619105839,11.9517446592706,2.20245428887698,2.77909691418175
65,5.63477023210753,15.5520655104563,1.96868814323626,2.33144396629168
66,8.23940305051331,4.41491781880799,2.0487020513164,1.60984918042633
67,7.45858211990077,9.06679871495708,1.86190337482528,1.65311179372976
69,7.93149077438629,7.84408201043731,0,0
70,13.6898673037594,8.91057802253023,0,0
71,9.15565273536088,11.1252134491816,0,0
72,3.20475878452944,7.23986987440218,0,0
77,18.5194599041216,14.1239824690652,0,0
79,12.9548066787727,8.91193229465342,0,0
80,18.4616133891301,7.96502792982126,0,0
81,14.0059987632167,9.45588146723899,0,0
82,9.40572088249644,11.7322086256767,0,0
83,9.51224152333047,16.9713774978293,0,0
84,15.0630918122241,8.95203636486255,0,0
89,17.301286817444,13.2096700809771,0,0
91,13.1074162904362,10.0085378469935,0,0
92,17.2999018047111,8.79134260307058,0,0
93,16.5778260773867,14.3171337766624,1.2334488449239,0.979623468834559
94,23.2220290075733,31.6701701580029,1.48745095135855,1.7835650331847
95,11.6886175816406,14.042903249,0.707186476785036,1.04528356861556
96,20.1215335242116,17.8902522778632,1.13135124678482,1.68083216110165
97,14.9834171744701,13.7115342914532,2.05703498203839,1.27934011950698
98,18.7608250901225,17.4581026735612,2.27202023483304,1.92760560436429
99,24.9644196279635,43.8819981170423,2.13115510300009,2.94689236597524
100,21.8850587390989,22.7854846059808,1.99397768744383,1.95081471659183
