patient,P26373_N,P26373_C,P26373.2_N,P26373.2_C
3,2.76827683331601,4.01124186761638,0,0
4,2.95783677004191,4.6845075321541,0,0
5,3.14245088290486,3.54034222839867,0,0
6,2.33979834303314,5.28314053826477,0,0
7,2.11468343284656,4.01284575072044,0,0
8,4.36090974938958,5.24181293837451,0,0
9,2.21495207712768,6.24346680099935,0,0
10,2.22207579261562,3.23658739565916,0,0
11,1.99505648705245,6.41291062661548,0,0
12,2.28603216094929,4.56779661262292,0,0
13,2.83880205061303,6.02602957797441,0,0
14,3.29531757429755,7.13936265347278,0,0
15,4.19459242954268,8.48235794331624,0,0
16,4.19180227229094,6.25179894694889,0,0
17,6.50860281112699,10.0624986755461,0,0
18,4.33052024526615,3.51459376972772,0,0
19,3.77402835485856,6.12111449868635,0,0
20,4.65747206830669,10.1664584521024,0,0
21,3.81835570024532,7.89037729515823,0.937307453652802,1.53103602181557
22,3.77064037336377,5.45456436359354,0.949026246176288,1.01899064891521
23,3.83846822090891,4.87167977350155,1.02787907817246,1.00045721252762
24,2.97268390658485,7.29738598803895,1.04902515757503,1.9298559780538
25,3.23608166010326,3.08701429221414,0,0
26,3.08157330859434,4.07491301020506,0,0
27,3.33189897785876,4.74949784998894,0,0
28,3.10169135356825,2.96148156029367,0,0
29,4.12406265946067,8.70744957530399,0,0
30,2.66600976527485,7.3682457522463,0,0
31,3.24477195577965,7.85463128657452,0,0
32,2.56866633291717,3.45959553531432,0,0
35,5.14947682505778,6.28302137047828,0,0
37,3.44625850850275,3.39686584679382,0,0
38,2.92219480606083,3.48529551195348,0,0
41,2.65514570243692,3.46415901727614,0,0
42,4.08156101829592,6.69444320713792,0,0
43,3.06306965615387,9.03168098149705,0,0
44,1.96084342749624,8.20502477267743,0,0
47,3.46471622260486,6.54856069312276,0,0
51,6.55672418286278,8.04132202571974,0,0
52,4.06229054306312,5.92695889206082,0,0
53,4.80923673036071,6.13882005382181,0,0
54,4.12538643273309,8.96267454802012,0,0
55,3.64010120650982,10.0595312495406,0,0
56,4.41073465776011,5.69797152217124,0,0
57,4.64810480067654,11.5013154107063,0,0
58,6.47307118894368,7.19841740327111,0,0
59,5.43921380624892,8.38112461961217,0,0
60,6.48192919589738,9.18471333837976,0,0
61,3.65670739683541,5.83695563137045,0,0
62,4.22740831466911,12.9277044868791,0,0
63,4.12885377470811,12.3548434424258,0,0
64,4.08820206805559,16.9354085351889,0,0
65,7.0102067309157,14.7082365691792,0,0
66,7.1917689545419,11.2908664051332,0,0
67,6.85291376749393,10.3827563247902,0,0
68,7.11703416486998,9.52090668465482,0,0
69,2.81638516059855,2.89196601711371,0,0
70,2.24349714810686,2.47347689426096,0,0
71,3.2620704099082,3.38623615115011,0,0
72,1.15703784279088,3.71025135073453,0,0
73,5.95445298179875,6.17116274056044,0,0
74,5.59542356116707,12.5582415980565,0,0
75,4.24467760303007,8.99924299560223,0,0
76,4.89309757956098,9.30210960647769,0,0
77,6.03133323940259,7.43298129590724,0,0
78,7.78967037065724,13.5685560912843,0,0
79,6.53992441949865,9.39084628440346,0,0
80,6.21734899778167,7.72197434908389,0,0
81,8.85323875862882,15.3858131634323,0,0
82,8.7450628325973,19.4892349629197,0,0
83,7.97539338053008,21.860159389973,0,0
84,9.29519077351511,14.5179949824231,0,0
85,3.29578428698578,5.34542968645874,0,0
86,3.37604632730772,5.28126653948773,0,0
88,3.98035803234373,13.5324355825233,0,0
89,4.29385975901175,18.120707681994,0,0
91,5.79290389290243,10.0860830474914,0,0
92,6.75828246303466,10.5204304803993,0,0
93,3.8438939638279,4.95511640246772,0,0
94,3.51849420476871,6.02160890069998,0,0
95,2.00951383541355,5.09522437444871,0,0
96,3.98760285627583,6.91309759360287,0,0
97,2.85737786963947,5.11196388597108,0,0
98,3.65789864041944,7.16200297054463,0,0
99,3.90698540994542,9.13547745879728,0,0
100,3.41145458614455,7.80550149991326,0,0
