patient,P29558_N,P29558_C,P29558.2_N,P29558.2_C
1,0,0,0.6027835449761,0.854183767080296
2,0,0,1.04759548066245,0.89972317448055
3,0,0,0.598832343521156,0.950227737273269
4,0,0,0.656635765213333,0.91615566607117
5,0.837040014631135,0.704302468242054,0,0
6,0.887879399818635,1.43525722602818,0,0
7,1.00532474262156,0.947352678945644,0,0
8,1.1212612495904,1.37893116508036,0,0
9,1.33038554276148,1.75621434865252,0,0
10,1.62321217413069,2.26473653798135,0,0
11,1.27463351612432,2.9228264863389,0,0
12,1.72012059877931,2.06004614807364,0,0
13,2.72668766632189,3.68167802364931,0,0
14,3.03941184672144,4.44323785307047,0,0
15,5.32288521013192,3.39794873838648,0,0
16,2.88440404362655,4.03929061138725,0,0
17,2.05976635659502,3.31616809317555,0,0
18,2.04943785690625,2.05026280228603,0,0
19,1.73205920797904,2.23240497599168,0,0
20,2.00428368469378,2.77983796021674,0,0
21,0.317596854063501,1.09936887076415,0,0
22,0.633925623846975,0.698785318963006,0,0
23,1.12172055539373,0.801434119817458,0,0
24,0.36308962035149,1.17276434605301,0,0
25,1.22984146203933,1.50889438914511,0,0
26,1.35898668661004,1.56445093395538,0,0
27,1.52702149254794,1.23756951987512,0,0
28,1.33059111926257,0.827442321503825,0,0
29,1.16294571941843,0.547672987944709,0,0
30,0.738861707842582,0.976276434129125,0,0
31,1.44646745880002,0.794274458609396,0,0
32,0.962234070206043,1.1564935102444,0,0
33,1.07261117500479,1.31617352362033,0,0
34,0.804414545106034,0.970909134472964,0,0
35,0.620247181417394,1.10371251328698,0,0
36,0.646081647411435,0.929269695227142,0,0
37,1.41044479595782,1.90388345298136,0,0
38,1.443190157182,1.91355064365346,0,0
39,1.17268573217296,1.41619543101763,0,0
40,3.37614719830493,8.64383208486468,0,0
45,0.421567132805751,0.951187060829071,0.82230634065254,0.778413685004585
46,0.356410220873237,1.16272827648654,0.531630989109273,1.25517094962982
47,0.557107812564966,0.976027792792168,0.990450851699107,1.47330620062246
48,0.494666426436415,1.31557477397567,0.638758520378894,1.07116238520921
49,1.45043686845156,2.35682374527648,0,0
50,1.45543020560603,1.64718886154846,0,0
51,1.59584269885959,2.08704752393714,0,0
52,1.18877178090356,2.18374468107835,0,0
53,1.29351698806244,1.40436179981635,0,0
54,1.09662075298439,1.38793388429752,0,0
55,1.16309458218549,1.40000918273646,0,0
56,1.08910927456382,1.09363636363636,0,0
57,1.4777403136111,1.78716932989828,0.851503222872199,2.28266863227891
58,1.66605515147615,1.88644345059808,0.928836472562458,1.42673023540298
59,2.14768136865533,2.39073493212011,0.757545912206138,1.38170725969606
60,1.87674142158248,2.72015769833828,1.12081928391073,1.49386634882299
61,0.829703494528768,1.60358277444405,0,0
62,0.691662548535122,1.18760324744088,0,0
63,0.828111542534416,0.820818919872926,0,0
64,0.927970349452877,1.47589128132721,0,0
65,1.14011917227086,1.41099590885048,0,0
66,1.52077418797699,1.89851196580274,0,0
67,1.35999956821641,1.8062101274841,0,0
68,1.00469294789452,1.17414911646283,0,0
77,1.34808787505727,2.58413552270808,1.02208108313684,1.09537156765802
78,2.07974963339509,2.80779787170777,1.36256180117137,0.824317334753176
79,1.53667135260277,2.16473756011457,0.951125732106184,1.25239598387465
80,1.47017367952172,1.24626803829802,1.0501559291093,0.919936107096676
81,1.95903305620123,2.51277744327878,0,0
82,1.87671165932121,3.21312694583328,0,0
83,1.46580250062368,2.29496958953155,0,0
84,1.71978389905624,1.74321937015239,0,0
85,1.72821591159118,3.1411107071806,0.908537084299324,1.0579380077539
86,2.4374791751729,2.82544024032781,1.00291647996259,1.38247968984395
87,1.04780743306722,2.58173714216817,0.505024450115919,0.987788579555417
88,1.28491296222082,4.02367576864277,0.683426523018177,1.37145083675895
89,0.809640091566493,1.26352998263472,0.630110857167268,1.00168528525963
90,0.976798362765955,1.18601297117093,0.80299250272337,1.20465642822052
91,0.839127377617429,1.17948694907906,0.928590042078732,0.804423606809492
92,0.877555650906117,1.3253867875572,0.78373026891941,0.921231603904565
93,1.58135238218193,1.38781825036326,0,0
94,1.55036798206775,1.48716146665789,0,0
95,1.51189308309071,1.16327508692512,0,0
96,1.38246777211291,2.11048416577427,0,0
97,0.855016724427324,0.748955478004661,0,0
98,0.705660645067803,1.19488486107254,0,0
99,0.834973071860698,1.54865480057479,0,0
100,0.759998430198157,1.41728351828819,0,0
