patient,Q9UPW5_N,Q9UPW5_C,Q9UPW5.3_N,Q9UPW5.3_C
1,1.02583273859729,0.682919613313437,0,0
2,0.58073833776682,0.435113216116265,0,0
3,2.13207292545254,1.57390254979563,0,0
4,0.925968987218582,0.756657367157594,0,0
9,1.05051346346391,1.0983776503841,0,0
10,0.811184554451936,1.04224665739272,0,0
11,0.914815569594457,1.2853244256209,0,0
12,1.29716199572926,1.39586748301007,0,0
33,0.674093873041069,0.854731780195154,0,0
34,0.83225952036354,1.27737834010302,0,0
35,1.04585492631153,0.820151890066452,0,0
36,1.35838896929517,0.652438644816907,0,0
57,1.0529070269337,1.17797177140884,0,0
58,1.13440953038674,1.1013143128453,0,0
59,1.28774602900552,1.02777537983425,0,0
60,1.21200578383978,0.946089433701657,0,0
61,1.00092458356756,1.2370114500429,0.826090359952511,0.891694607887905
62,1.00755199857984,1.4001819580461,0.758640034442719,2.24722436039609
63,1.03999378679843,1.29465368797893,0.646220433404219,1.30161515479654
64,1.11728897304654,1.29998668599663,0.96670537123772,1.34318125481089
69,3.51532600772816,3.27997975236995,0,0
70,3.8254621586443,4.24153989177098,0,0
71,3.55354235818548,4.10984069230065,0,0
72,3.45448686997803,3.10801165982691,0,0
73,0.730677790791415,1.09619275055899,1.00646593697659,0.942367467767694
74,0.840834765678475,1.09826141186134,0.953873719471819,1.40360690219297
75,1.32128135314786,1.20771793194713,0.755419312117789,1.37341954582635
76,1.04745752399495,1.11660557017477,0.661025201573638,1.12471468079305
81,2.44904426140983,2.3996033261428,0,0
82,2.39604098461991,2.69203024545273,0,0
83,2.12516457519919,3.47561216663701,0,0
84,2.15639856081998,2.85262444872457,0,0
89,0.913088444732941,1.00262311440945,0,0
90,1.27434918666499,1.72945590358177,0,0
92,1.0896557737582,1.22556846255946,0,0
93,1.12021899609187,0.914977642681939,0,0
94,0.990288356590421,1.07753470958959,0,0
95,0.537770957785158,1.08514558663021,0,0
96,0.949458377832807,1.36144330864835,0,0
97,0.926269778101562,0.741012192877161,0,0
98,1.05078334633941,0.744226985069364,0,0
99,1.10174817288323,1.27422177399492,0,0
100,1.09758968362815,1.2827643064734,0,0
