patient,Q7Z460_N,Q7Z460_C,Q7Z460.4_N,Q7Z460.4_C
1,0,0,0.801296435052696,2.74031459067378
2,0,0,1.18483175900896,1.97704747398779
3,0,0,1.41204531496852,1.65567080325826
4,0,0,0.908891972458592,2.54610325395857
5,0.877804997424668,0.967691759707463,1.26192583985952,2.96591377900987
6,0.670126921568979,1.19637480428761,0.804988567147049,5.16504964300684
7,1.02844011777338,0.705871499919281,1.16086901571761,2.31417182754716
8,1.10839583744404,1.09846607609144,2.57707655440818,4.86526383564066
9,1.02020693900901,1.67634849843519,1.27977006239371,4.09533634756941
10,0.813471820544645,1.96002161635717,1.31315398249993,3.26112868584936
11,0.778996502188359,1.96879286897756,1.81175047371811,11.4382915309182
12,0.908433348575636,1.4126526952153,2.06470816912067,3.21191451053686
13,0.542389921327575,1.23574846328919,1.56783349700181,3.59872767120549
14,0.801483844375549,1.49499112919123,1.37673344605547,3.87758562771836
15,0.986559380656261,1.39492123797065,2.47730059341125,2.35232122680479
16,0.695654199745524,1.64952240999265,1.26263243955178,2.63913058260161
17,0,0,1.5134548996882,3.38102128537044
18,0,0,0.657187145584539,1.0448638866866
19,0,0,0.404046957937662,1.1728303107657
20,0,0,0.93849747398435,2.35367418842192
21,0.553540001294371,1.96198932352395,1.64664542073525,5.99530446139066
22,0.730334427981804,0.937296058221659,1.18208313094363,2.13953818630118
23,0.911264579945177,1.57703492923755,1.66800053540843,2.93133819181757
24,0.891604749090287,1.49693630649044,1.5361165954497,3.55119039761456
25,0,0,0.830751282709584,2.37044759354483
26,0,0,1.39705865734897,3.6399807886639
27,0,0,0.895138416308713,3.16249800571415
28,0,0,0.837308378927118,2.89766710325668
29,0,0,0.80211409339219,1.67152062509513
30,0,0,0.838758096977692,1.31174421161229
31,0,0,0.510303245556176,1.20107565071795
32,0,0,0.468990478123362,1.25450301892536
33,0.800567448602592,1.08591277908395,0.91375483899275,3.36400656764818
34,0.824954480369107,1.74433877211901,0.877514727227183,3.11331004632649
35,0.972847319203097,1.76978557160282,1.78096384206711,2.36325229457024
36,0.403253548763457,1.10831020523608,0.543499352677716,2.62433006363164
41,0,0,0.975124910445956,1.69876345636741
42,0,0,0.551401695246425,2.48114015091601
43,0,0,0.554179033653712,0.929035979791025
44,0,0,0.279990602640565,1.31678870828177
45,0,0,1.48651158288547,2.03536771678938
46,0,0,0.734422970650413,10.3519394962593
47,0,0,0.982022180443572,2.60970003720813
53,0.930995631919039,1.3304405008378,1.30695340902567,2.37489441435979
54,0.893799853399263,1.16991158489591,1.31503771824434,2.08382621795619
55,0.878547610308183,1.49991849353881,1.11084629204354,2.60920524141045
56,0.871083392753577,1.74426044807484,1.05674784471444,2.38815775396427
57,0.78757638008,1.87160288719509,2.249569381318,3.8684698890718
58,0.647542179764938,1.53613671145636,1.35994026000355,2.38257808646802
59,0.840586868426075,1.01138264315301,2.02655870599078,2.87869675587667
60,0.89841683224259,0.674348641154878,2.52472963950871,2.26628167945125
61,0.971118467384468,1.46073934313249,2.61162050199892,3.47208772493474
62,0.787719417172254,2.06902720189204,1.76574379290699,8.60442948409184
63,0.761221769045655,2.09011685929809,1.40373160213927,5.65531373440303
64,0.64826594057989,1.87955734315509,2.59748737897494,9.66680596156016
65,0.934541439678426,1.42480959433014,1.3413211895446,3.4151872375982
66,0.873314116464801,1.70619347331676,1.03321605251654,4.12389933154446
67,1.02396599143174,1.55307558047284,1.93471076403732,2.9853823759865
68,0.894913259639287,1.56325038345586,0.872379872128819,2.4615009322872
69,0,0,1.68965805760337,3.32352235654983
70,0,0,1.96227317915522,2.69954060384219
71,0,0,1.28696406471539,3.53551855722159
72,0,0,0.669122851885789,2.45550683677456
73,1.50315890761303,1.70704244373262,0.926723570391093,1.42387938974693
74,1.34773305648051,1.49203837112628,1.10918107440573,6.69748818319585
75,1.09701665759298,1.80393249180203,0.526935906726936,3.35513462185627
76,1.31753668510945,1.41299604556255,1.04888307920122,6.49270184429235
77,0.893848867851931,1.07031732088539,0.880242515034638,1.30557913994223
78,0.811814413381054,1.57048792351195,0.891583936124112,2.21722429307299
79,0.82670402985183,1.41329393743602,0.691591387265216,1.60120708485869
80,0.752147052204404,1.02288979070325,0.686265782203146,1.45567453415662
81,1.48225127157694,2.78197553742301,1.68129658708185,4.4094681595539
82,1.69659596340042,3.12086090992476,2.6499369345393,9.75533817412163
83,1.65365842562186,2.40833710802295,2.05685913103817,13.344561306926
84,1.59333921746163,2.79906459882594,1.62477045024631,4.04698417073278
85,0.761671168717393,1.10150112036481,0.499307752538417,1.52311325632784
86,0.977188361684085,1.28899796144148,1.05232694341088,1.7820201384917
87,0.703038743843609,0.726921608158727,0.155686032008003,0.831844016386004
88,0.771793763021784,1.5081401944212,0.580282766203972,1.59880671733299
89,0,0,0.587963768148848,5.65527813113553
90,0,0,0.60971915466694,4.14924840322203
91,0,0,1.20143988307971,3.83601666237063
92,0,0,0.95224935102036,3.19662579940096
93,0.892732947506765,0.801551551026996,0.656920629743924,0.726066931059839
94,0.679309788270509,0.901555533662704,0.614751046855434,1.06335898295802
95,0.607234562570351,0.775662322798913,0.230521412462579,1.23360644389132
96,0.634995629581341,1.09515145544374,0.321437691718381,1.44091920214386
97,0,0,0.548825352436898,1.09161441037424
98,0,0,0.765010806501805,0.974812538099846
99,0,0,0.698106411005154,2.88561307181741
100,0,0,0.852023394904106,3.03325930062537
