patient,O94925_N,O94925_C,O94925.3_N,O94925.3_C
1,5.10505465534654,5.42366573741991,2.42011843534154,5.20270156354812
2,5.70854109073351,4.40625457098602,3.79497105746327,3.45385058541076
3,4.2442340455257,4.85852730846122,3.01443614164387,3.81853517691693
4,4.20055947737857,6.14380547700076,2.3382472179814,8.96049647864353
5,3.98568217802831,9.15477253956494,1.50961026810202,4.04628415804819
6,5.82951529839354,2.95608160118949,1.49341101126525,1.94200456712758
7,4.59952021642585,2.24640768769321,1.81506203505556,2.39751665740427
8,3.66243794408743,3.22571671770238,2.00192570531131,2.67537526996442
9,5.63780109356647,8.33656360160983,2.62244971409906,3.85198929113564
10,5.81589221007798,16.0647616323468,2.23866979349842,4.60954878939664
11,5.40450483129089,10.523276800947,2.39782777394929,8.83957119948634
12,6.00476221861558,11.5655537799331,2.48042050593465,3.86607155127827
13,6.01589370766974,18.2362930194475,1.49205318320949,5.78781504254936
14,6.10208742266625,7.15321476495242,2.33443015744575,2.8650583017926
15,8.56938031606293,7.13563475070661,2.57407453489148,3.75821702892753
16,5.17546578587925,6.31973007739115,1.64990504789226,2.23804057674146
17,7.97332000147379,6.27638141794699,8.85547438467673,7.86792317327832
18,5.37514086045821,5.75426731593836,5.93537187416665,7.87085807366877
19,5.05214502791683,5.0878362483275,5.67344495446587,5.6400059420369
20,5.05725930775352,12.7731226686774,6.66853286891603,14.2855016907599
22,11.7102099053108,143.414900160439,5.90511125004313,26.4137204787515
23,15.4272822151575,16.9694594301333,8.3664337261423,8.4640643299663
24,13.085029318142,40.2731544681149,6.60458432191012,31.8989335675287
25,5.32825252000013,16.0346347566886,2.49899182351272,11.6991466053209
26,7.03509674635138,13.2475029187427,2.18752208034326,8.84804834315594
27,5.15769518653217,10.1721323837563,1.93071467668573,4.20511953947334
28,5.99249615852653,19.1956665905639,2.63737725335634,15.4769775844955
29,2.35626204552554,2.11788552478164,1.01800083784278,1.92304530647621
30,2.42834433856054,3.60416759354905,1.39826419390432,2.55824654017883
31,1.74587398464592,4.35201101273636,0.97676923301615,2.96232108515248
32,1.97541677821688,2.46576642596472,1.05673438424153,4.22226010728445
33,8.9244998910745,5.73330855762673,3.20392168420347,4.73041564403998
34,3.66019154542595,5.10667214474078,4.19948138718664,5.17563417697689
35,3.65326961677847,28.0038897407738,3.58998050964271,25.4812693204891
36,2.06008483208301,5.43293418883428,3.5480056145348,5.88981516740623
37,3.21170068067457,2.03218889011614,2.85944672154038,2.30039598022288
38,2.0799649925141,7.51363145453333,2.27277749652528,21.2232014511434
40,2.37613166563795,4.24050294870464,2.02877725645707,2.8604013146198
41,3.53078520569578,3.85904540026463,2.27659948035465,2.4604528366394
42,3.41314858837393,4.98466562324862,1.88992677484538,9.8953449826582
43,2.10551365122013,5.5397552890724,1.30280741307963,2.24449083738292
44,2.21225724680365,6.74116935512366,1.23821457008531,5.05865407824259
45,6.59002401012584,7.04158904843007,6.05259303863385,7.04349704223733
46,6.51803493573541,7.40984008395534,5.12758220988353,15.2349470517635
47,6.79847490831128,13.1168547282063,6.95300870322468,13.6776690378674
48,6.04027517111059,8.07094133266006,4.8963153171852,14.2404914429798
51,4.17298884554744,7.41361788560156,1.53849837225797,8.27461573667076
53,5.15289449558481,4.58121367668677,2.50800125060655,1.95418928007411
54,5.3109906805022,4.39937396428054,1.70731982353313,2.0608193540115
55,4.86305306960007,5.06060357507138,1.76756560475673,2.42342739141146
56,4.41107993963124,6.25701422094967,1.79442174842545,2.48517812372972
57,4.30660238421663,7.53452842183908,4.09252592194799,7.2078093249578
58,4.51041214441994,3.87161159577055,5.18213976867702,5.15594553951891
59,3.02699594841054,11.1058190276588,4.58482598401829,15.7543853581149
60,6.40436360071047,4.44119841775675,5.30878680177207,6.16531518659167
61,7.7548548728815,11.7439287169274,6.51620649220129,6.10055721570517
62,6.04934371501614,22.3207655323705,2.46977932831989,11.562010619866
63,5.95708535240851,18.4998677184756,2.55289865618589,11.0924213555458
64,7.37460371054862,9.38978265006617,2.72632543477372,7.87326768591645
65,6.89633931534813,6.80838927771565,5.15433642911436,7.5556978672477
66,7.86143390764784,12.2098943908542,6.13049372749379,10.928564065047
67,9.04715995820022,5.64074554089124,6.81255247740201,11.6377601413704
68,5.82537575049415,8.0424720110766,4.51059106080855,12.3345457753993
69,3.04051349044101,5.69790256853412,4.03493758838692,15.4720068611418
70,3.37495120792894,3.15451854362896,4.59490808748116,11.6042389225944
71,2.22513909733741,2.95118010768185,2.52430193429618,7.90610447227611
72,1.75358676393822,4.34209096690724,2.17617680429694,9.13292263533999
73,8.03589409646608,5.23589914996579,3.00554884978582,4.37674765133618
74,6.26355265297992,4.31965537992046,2.94927919578988,3.36051092590915
75,4.0208505489758,4.94861507985679,1.89236507264877,2.78503702317189
76,4.32157926832649,15.0595285244024,2.09215072760278,8.05178658756152
78,6.01909309363708,20.4080747038791,2.77890998928937,7.27055067929188
80,4.75126945267448,7.77376379734457,2.00589684856399,2.5392803874426
81,2.18441376300944,1.94763826627458,2.31871005341165,5.14652563100531
82,2.81067309657772,5.22564901302331,3.74415064731868,4.99646158674581
83,1.9074873928135,6.77107872206683,3.14889957934579,5.65808665261675
84,1.80232146642481,2.75352323644048,2.51957722392429,3.72478057555383
85,6.11787217151301,7.57076001901892,3.5571871999527,5.56563612163745
86,8.89975335622747,22.6470259306893,4.45205631699,7.6274605716382
89,5.1062653094195,15.1235254474288,2.05373201625538,5.02035677393952
90,4.75499105520527,8.40209751985655,3.00300743141859,5.3549262502462
91,5.11195137368301,5.72508476516853,2.59845748268954,3.89644623664857
92,4.73582347739725,10.1258501546531,3.14403585210371,9.25466734773503
93,6.24173690044463,7.80169847857377,3.14256305054435,3.34257656628142
94,6.32465566340463,15.6086393097024,3.32317620666824,5.32210770930317
95,4.40831712017498,7.27779359170723,2.61086355716292,3.0636590844872
96,6.75496342076108,10.4730289689945,3.35534988148687,7.64250844130663
97,5.56160364779434,8.9610632054124,1.63481668626558,6.16804206638594
98,5.64466102162686,7.18194122428761,2.39893723031981,6.09701167968
99,5.9125796661196,5.60606505273433,2.02216344993413,3.00414954607489
100,7.21679792547738,9.50220896576378,2.30360764796584,4.1639255487188
