patient,O00273_N,O00273_C,O00273.2_N,O00273.2_C
1,3.90085019711323,7.73333128736863,0.893584539051386,0.926295062627945
2,4.82628103901209,5.78687362248383,1.20958965106462,1.27822305494836
3,4.57992334267664,4.7700291599229,1.01615430877948,1.06817656107237
4,3.9180458317028,5.25461305839331,0.783682037403282,0.938441876872188
5,5.35754774796589,9.58101652226623,0.914008052200472,1.57497471291724
6,4.2848910804783,9.40029171716035,2.44145494932667,1.59735427698776
7,6.1426877839293,5.1940332660247,0.970940679478789,0.948945875726384
8,7.75077050113815,8.34311770932913,1.2590071597152,1.47281093195296
9,7.84134769003992,14.0346804135337,0,0
10,7.03652674267922,12.6697235873588,0,0
11,6.27241217032008,13.5741185428884,0,0
12,8.01556066355842,14.0785967046249,0,0
13,7.18186695299684,13.4083002314633,1.0377259963545,1.50083255332775
14,9.47988814296838,18.1614893397939,1.42081875954481,2.42235578107296
15,16.0850542519934,23.4806305991858,1.88967929454653,1.51062613921868
16,8.77780567781686,17.9314286694615,1.24969702941032,1.37798906350067
17,8.50117176088713,10.0790425526899,2.08449706321454,2.41797873070937
18,6.978193762261,6.44098881678808,1.68345479636939,1.99156493091086
19,5.04420807760787,7.67750286185148,1.51534069590641,1.99209129155116
20,6.84395928530565,11.2194253870162,1.71752319422527,3.29871293303104
21,5.6909424561387,18.4597598568002,0,0
22,6.89157016245143,10.5037585146063,0,0
23,7.92738469090575,6.87690926808339,0,0
24,7.58366728630391,20.6402696671099,0,0
25,9.14571211711476,17.3982381741479,0,0
26,10.1740657214846,18.3093753138057,0,0
27,7.69001621606681,17.1578730864275,0,0
28,8.08713635981341,18.1523845006014,0,0
29,6.41673814376743,9.4897139014173,0.975582041311045,1.331734087504
30,6.3030780002491,8.83537993237819,0.997609548339309,1.53176607242058
31,5.9295420952311,9.00172154767131,0.901755803578944,1.48745854586469
32,4.991703471884,9.56602344230258,0.944531420972005,1.37108395198896
33,5.48342240165183,16.9683635887385,1.48345414801436,2.34134477993492
34,11.1217814896151,19.4511221670448,1.79650410004052,1.98230302651119
35,10.3445752790441,17.9868667255457,1.45854559086369,1.96121923679761
37,4.15013110797453,5.51545969342449,0.945104089317598,1.14436490256721
38,2.85301548029214,6.93334611854821,0.812492640574047,1.26969742846638
39,3.29325349832516,12.1411821041407,0.924120413425515,1.22292392095796
40,2.32555786676701,6.39294067183551,0.891991262408893,1.31203485424131
41,5.51241599627522,6.88074081687803,1.02745722956822,1.0866599224716
42,5.10088951208681,9.92038156091388,1.11332933456281,1.12068826599583
43,3.50553695136397,8.09934724951933,0.815973894593603,1.49448975389656
44,2.79663382438384,12.370116976691,0.80616198601624,1.58372798811112
45,5.93839811542589,10.1778209007127,0.907161268954394,0.892779800589083
46,4.19683990293864,15.7214462775929,0.803249815288466,1.15593419727746
47,7.16133545732641,19.5749276412494,0.995445074488319,1.18642960081262
48,4.11233515869104,9.21112259401656,0.927634064019301,1.84381435133851
49,3.8847268311105,10.8202877858273,0.638002348976153,0.888395263465477
50,4.80738699181059,6.61290010070262,0.787411984317464,0.912826884996624
51,8.17379617803368,11.3085096120112,0.941786243170097,0.971188162068007
52,5.60400336758321,14.7433498566825,0.803037782203385,1.65776438747894
53,7.67495290091604,11.6312974838552,0,0
54,6.73029503521299,10.9709750277484,0,0
55,6.25048452150069,15.8113288622194,0,0
56,7.07430564048417,13.7202786015927,0,0
57,8.18804564857038,17.9073243597137,1.68515197424924,3.18653749568083
58,8.47934367553262,11.8564000601459,1.81575164457936,2.55219064014892
59,7.80366600523526,13.4931568569233,1.94786812102112,2.57184006757629
60,8.57703785078251,11.5905218018902,1.84808282723339,2.40801504731407
61,5.08965091954419,7.86957260127814,1.60445919140553,1.71534254784629
62,3.70613338971956,11.1901340720103,1.87342718924192,2.8018672694069
63,4.66922393691048,9.87918590119836,1.96935174972114,2.44568115149188
64,4.75174475821126,7.54857947583882,2.26963364430832,2.35006144687111
65,7.38785862538204,10.4560985047228,1.07541092557027,0.947091206899259
66,7.62829741675992,9.66690332868283,1.20324920326752,1.30093985650966
67,9.978436777025,9.07265047265902,1.15709104990764,1.16054748211604
68,5.5385301617436,7.81111585942936,0.93682918788234,1.10065256184162
69,3.62015416447827,4.75015837971971,0.673975130316169,0.643119428070346
